,Dates,Season,MatchNo,Venue,Innings,Batsman,R,B,M,NotOut,FoWR,FoWO,Total
136,"3,4,5,6,7 December 2010 ",2010/11,1983,Adelaide Oval,1,RT Ponting (c),0,1.0,2,0,0,0.4,245
137,"3,4,5,6,7 December 2010 ",2010/11,1983,Adelaide Oval,2,IJL Trott,78,144.0,213,0,3,1.3,620
138,"3,4,5,6,7 December 2010 ",2010/11,1983,Adelaide Oval,3,RT Ponting (c),9,19.0,21,0,84,29.2,304
139,"16,17,18,19 December 2010 ",2010/11,1984,"W.A.C.A. Ground, Perth",1,RT Ponting (c),12,10.0,11,0,2,1.6,268
140,"16,17,18,19 December 2010 ",2010/11,1984,"W.A.C.A. Ground, Perth",2,IJL Trott,4,8.0,7,0,78,24.1,187
141,"16,17,18,19 December 2010 ",2010/11,1984,"W.A.C.A. Ground, Perth",3,RT Ponting (c),1,9.0,17,0,31,12.2,309
142,"16,17,18,19 December 2010 ",2010/11,1984,"W.A.C.A. Ground, Perth",4,IJL Trott,31,61.0,85,0,23,6.1,123
143,"16,17,18,19,20 December 2010 ",2010/11,1985,"SuperSport Park, Centurion",1,R Dravid,14,42.0,61,0,1,2.1,136
144,"16,17,18,19,20 December 2010 ",2010/11,1985,"SuperSport Park, Centurion",2,HM Amla,140,202.0,296,0,111,26.3,620
145,"16,17,18,19,20 December 2010 ",2010/11,1985,"SuperSport Park, Centurion",3,R Dravid,43,109.0,159,0,137,29.3,459
146,"26,27,28,29 December 2010 ",2010/11,1986,Melbourne Cricket Ground,1,RT Ponting (c),10,38.0,52,0,15,3.2,98
147,"26,27,28,29 December 2010 ",2010/11,1986,Melbourne Cricket Ground,2,IJL Trott,168,345.0,486,1,159,51.1,513
148,"26,27,28,29 December 2010 ",2010/11,1986,Melbourne Cricket Ground,3,RT Ponting (c),20,73.0,101.0,0,53,11.3,258
149,"26,27,28,29 December 2010 ",2010/11,1987,"Kingsmead, Durban",1,R Dravid,25,68.0,121,0,43,10.4,205
150,"26,27,28,29 December 2010 ",2010/11,1987,"Kingsmead, Durban",2,HM Amla,33,46.0,106,0,23,4.6,131
151,"26,27,28,29 December 2010 ",2010/11,1987,"Kingsmead, Durban",3,R Dravid,2,7.0,17,0,42,9.1,228
152,"26,27,28,29 December 2010 ",2010/11,1987,"Kingsmead, Durban",4,HM Amla,16,16.0,19,0,63,12.1,215
153,"2,3,4,5,6 January 2011 ",2010/11,1988,"Newlands, Cape Town",1,HM Amla,59,80.0,110,0,17,6.3,362
154,"2,3,4,5,6 January 2011 ",2010/11,1988,"Newlands, Cape Town",2,R Dravid,5,16.0,21,0,19,6.3,364
155,"2,3,4,5,6 January 2011 ",2010/11,1988,"Newlands, Cape Town",3,PL Harris,0,8.0,9,0,50,13.4,341
156,"2,3,4,5,6 January 2011 ",2010/11,1988,"Newlands, Cape Town",4,R Dravid,31,112.0,149,0,27,11.6,166
157,"3,4,5,6,7 January 2011 ",2010/11,1989,Sydney Cricket Ground,1,UT Khawaja,37,95.0,120,0,55,29.3,280
158,"3,4,5,6,7 January 2011 ",2010/11,1989,Sydney Cricket Ground,2,IJL Trott,0,6.0,6,0,98,22.2,644
159,"3,4,5,6,7 January 2011 ",2010/11,1989,Sydney Cricket Ground,3,UT Khawaja,21,73.0,89,0,46,12.4,281
160,"7,8,9 January 2011 ",2010/11,1990,"Seddon Park, Hamilton",1,MJ Guptill,50,164.0,227,0,9,1.5,275
161,"7,8,9 January 2011 ",2010/11,1990,"Seddon Park, Hamilton",2,Azhar Ali,24,55.0,88,0,0,0.4,367
162,"7,8,9 January 2011 ",2010/11,1990,"Seddon Park, Hamilton",3,MJ Guptill,11,35.0,42,0,36,11.6,110
163,"15,16,17,18,19 January 2011 ",2010/11,1991,"Basin Reserve, Wellington",1,KS Williamson,21,34.0,53,0,3,0.6,356
164,"15,16,17,18,19 January 2011 ",2010/11,1991,"Basin Reserve, Wellington",2,Azhar Ali,67,169.0,210,0,2,1.5,376
165,"15,16,17,18,19 January 2011 ",2010/11,1991,"Basin Reserve, Wellington",3,KS Williamson,15,43.0,73,0,120,35.3,293
166,"15,16,17,18,19 January 2011 ",2010/11,1991,"Basin Reserve, Wellington",4,Azhar Ali,10,22.0,41,0,4,1.1,226
167,"12,13,14,15 May 2011 ",2011,1992,"Providence Stadium, Guyana",1,DM Bravo,25,85.0,101,0,15,5.4,226
168,"12,13,14,15 May 2011 ",2011,1992,"Providence Stadium, Guyana",2,Azhar Ali,34,73.0,106,0,5,1.2,160
169,"12,13,14,15 May 2011 ",2011,1992,"Providence Stadium, Guyana",3,DM Bravo,8,27.0,27,0,3,1.1,152
170,"12,13,14,15 May 2011 ",2011,1992,"Providence Stadium, Guyana",4,Azhar Ali,0,2.0,1,0,2,1.3,178
171,"20,21,22,23,24 May 2011 ",2011,1993,"Warner Park, Basseterre, St Kitts",1,Azhar Ali,67,196.0,230,0,17,7.3,272
172,"20,21,22,23,24 May 2011 ",2011,1993,"Warner Park, Basseterre, St Kitts",2,DM Bravo,24,87.0,123,0,0,0.2,223
173,"20,21,22,23,24 May 2011 ",2011,1993,"Warner Park, Basseterre, St Kitts",3,Azhar Ali,53,90.0,101,0,82,25.5,377
174,"20,21,22,23,24 May 2011 ",2011,1993,"Warner Park, Basseterre, St Kitts",4,DM Bravo,50,144.0,179,0,5,2.3,230
175,"26,27,28,29,30, May 2011 ",2011,1994,"Sophia Gardens, Cardiff",1,KC Sangakkara,11,16.0,26,0,93,32.4,400
176,"26,27,28,29,30, May 2011 ",2011,1994,"Sophia Gardens, Cardiff",2,JM Anderson,1,16.0,13,0,46,19.1,496
177,"26,27,28,29,30, May 2011 ",2011,1994,"Sophia Gardens, Cardiff",3,KC Sangakkara,14,38.0,63,0,1,1.6,82
178,"3,4,5,6,7 June 2011 ",2011,1995,"Lord's, London",1,IJL Trott,2,9.0,13,0,5,2.6,486
179,"3,4,5,6,7 June 2011 ",2011,1995,"Lord's, London",2,KC Sangakkara,26,93.0,110,0,207,53.5,479
180,"3,4,5,6,7 June 2011 ",2011,1995,"Lord's, London",3,IJL Trott,58,75.0,122,0,0,0.2,335
181,"3,4,5,6,7 June 2011 ",2011,1995,"Lord's, London",4,DPMD Jayawardene,25,71.0,77,0,13,4.2,127
182,"16,17,18,19,20 June 2011 ",2011,1996,"The Rose Bowl, Southampton",1,KC Sangakkara (c),2,14.0,21,0,23,12.4,184
183,"16,17,18,19,20 June 2011 ",2011,1996,"The Rose Bowl, Southampton",2,IJL Trott,4,17.0,23,0,4,2.2,377
184,"16,17,18,19,20 June 2011 ",2011,1996,"The Rose Bowl, Southampton",3,KC Sangakkara (c),119,249.0,346,0,25,12.1,334
185,"20,21,22,23 June 2011 ",2011,1997,"Sabina Park, Kingston, Jamaica",1,R Dravid,40,67.0,106,0,15,3.5,246
186,"20,21,22,23 June 2011 ",2011,1997,"Sabina Park, Kingston, Jamaica",2,RR Sarwan,3,30.0,44,0,18,9.4,173
187,"20,21,22,23 June 2011 ",2011,1997,"Sabina Park, Kingston, Jamaica",3,R Dravid,112,274.0,402,0,0,1.2,252
188,"20,21,22,23 June 2011 ",2011,1997,"Sabina Park, Kingston, Jamaica",4,RR Sarwan,0,2.0,2,0,62,10.6,262
189,"28,29,30 June, 1,2 July 2011 ",2011,1998,"Kensington Oval, Bridgetown, Barbados",1,R Dravid,5,21.0,35,0,1,1.3,201
190,"28,29,30 June, 1,2 July 2011 ",2011,1998,"Kensington Oval, Bridgetown, Barbados",2,RR Sarwan,18,43.0,74,0,3,3.5,190
