Dates,Season,MatchNo,Venue,Innings,3Batsman,3R,3B,3M,3NotOut,FoWR1,FoWO1,FoWM1,4Batsman,4R,4B,4M,4NotOut,FoWR2,FoWO2,FoWM2,Total
"13,14,15,16,17 October 2016 - day/night match ...
Name: 1, dtype: object",2016/17,2224,Dubai International Cricket Stadium,4,DM Bravo,116,249.0,406,0,27,8.1,36,MN Samuels,4,11.0,19,0.0,87.0,25.4,442,289
"20,21,22,23,24 October 2016 ",2016/17,2225,"Zahur Ahmed Chowdhury Stadium, Chattogram",1,JE Root,40,49.0,97,0,18,9.5,34,GS Ballance,1,7.0,8,0.0,18.0,10.2,131,293
"20,21,22,23,24 October 2016 ",2016/17,2225,"Zahur Ahmed Chowdhury Stadium, Chattogram",2,Mominul Haque,0,3.0,3,0,29,13.2,55,Mahmudullah,38,66.0,122,0.0,29.0,13.5,221,248
"20,21,22,23,24 October 2016 ",2016/17,2225,"Zahur Ahmed Chowdhury Stadium, Chattogram",3,JE Root,1,4.0,6,0,26,8.1,28,GS Ballance,9,25.0,37,0.0,27.0,9.2,42,240
"20,21,22,23,24 October 2016 ",2016/17,2225,"Zahur Ahmed Chowdhury Stadium, Chattogram",4,Mominul Haque,27,47.0,77,0,35,9.5,36,Mahmudullah,17,36.0,40,0.0,81.0,20.1,83,263
"21,22,23,24,25 October 2016 ",2016/17,2226,"Sheikh Zayed Stadium, Abu Dhabi",1,Asad Shafiq,68,121.0,161,0,6,4.2,24,Younis Khan,127,205.0,298,0.0,42.0,13.2,185,452
"21,22,23,24,25 October 2016 ",2016/17,2226,"Sheikh Zayed Stadium, Abu Dhabi",2,KC Brathwaite,21,82.0,137,0,27,13.1,55,MN Samuels,30,61.0,61,0.0,65.0,28.1,192,224
"21,22,23,24,25 October 2016 ",2016/17,2226,"Sheikh Zayed Stadium, Abu Dhabi",3,Asad Shafiq,58,103.0,145,1,93,32.5,143,Younis Khan,29,54.0,64,1.0,164.0,50.3,222,227
"21,22,23,24,25 October 2016 ",2016/17,2226,"Sheikh Zayed Stadium, Abu Dhabi",4,DM Bravo,13,34.0,45,0,28,7.5,33,MN Samuels,23,61.0,86,0.0,63.0,18.6,179,322
"28,29,30 October 2016 ",2016/17,2227,"Shere Bangla National Stadium, Mirpur, Dhaka",1,Mominul Haque,66,111.0,184,0,1,2.2,9,Mahmudullah,13,26.0,40,0.0,171.0,41.1,193,220
